"Name","Team","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","playerid"
"Jack Wilson","- - -","SS","917.1"," ","2"," ","1","25","28","271","223",".823","48"," "," ","8.4","10"," ","1.4","13.9","-0.3","15.0","22.6","1017"
"Elvis Andrus","TEX","SS","1238.0"," ","2"," ","2","11","15","362","307",".848","45"," "," ","6.1","14"," ","0.6","14.1","-2.8","11.9","13.3","8709"
"Paul Janish","CIN","SS","592.1"," ","0"," ","1","10","11","194","167",".861","20"," "," ","11.9","6"," ","0.8","6.5","3.3","10.6","22.6","7412"
"Cesar Izturis","BAL","SS","934.2"," ","0"," ","3","11","14","312","259",".830","39"," "," ","16.1","8"," ","-0.9","6.5","3.4","8.9","11.9","656"
"Alex Gonzalez","- - -","SS","948.1"," ","0"," ","1","-6","-5","250","204",".816","31"," "," ","-3.3","-1"," ","1.5","2.4","3.7","7.6","12.1","520"
"Brendan Ryan","STL","SS","830.2"," ","2"," ","1","19","22","318","266",".837","54"," "," ","12.4","11"," ","2.6","1.4","3.2","7.2","9.5","6073"
"J.J. Hardy","MIL","SS","949.1"," ","-1"," ","0","3","2","296","250",".845","30"," "," ","6.0","5"," ","0.3","4.2","2.3","6.8","9.1","3797"
"Derek Jeter","NYY","SS","1260.2"," ","-3"," ","1","5","3","326","276",".847","25"," "," ","3.9","-1"," ","-1.7","3.1","4.8","6.3","7.8","826"
"Rafael Furcal","LAD","SS","1282.1"," ","1"," ","0","6","7","392","316",".806","65"," "," ","5.6","9"," ","0.9","5.7","-1.0","5.6","6.2","88"
"Adam Everett","DET","SS","942.2"," ","0"," ","2","7","9","253","212",".838","39"," "," ","8.4","3"," ","0.2","7.4","-2.0","5.6","8.6","1430"
"Omar Vizquel","TEX","SS","196.2"," ","0"," ","-1","3","2","62","56",".903","8"," "," ","5.4","1"," ","0.3","3.3","1.9","5.6","34.3","411"
"Robert Andino","BAL","SS","478.1"," ","1"," ","0","2","3","161","130",".808","20"," "," ","1.0","-1"," ","1.3","5.6","-1.5","5.5","14.1","4900"
"Erick Aybar","LAA","SS","1189.1"," ","2"," ","2","-3","1","339","277",".817","37"," "," ","1.1","15"," ","3.3","-2.9","4.7","5.1","4.7","4082"
"Jimmy Rollins","PHI","SS","1364.2"," ","0"," ","0","-2","-2","379","304",".802","44"," "," ","-0.1","19"," ","-0.6","-0.9","6.0","4.5","4.9","971"
"Omar Infante","ATL","SS","73.0"," ","0"," ","-1","5","4","14","14","1.000","6"," "," ","2.2","-1"," ","0.1","3.0","0.5","3.6","78.6","1609"
"Ryan Theriot","CHC","SS","1311.0"," ","-1"," ","-4","5","0","373","309",".828","46"," "," ","3.8","-16"," ","-0.9","4.3","0.2","3.6","4.0","3811"
"Alexei Ramirez","CHW","SS","1293.2"," ","0"," ","0","2","2","378","308",".815","56"," "," ","-1.9","-10"," ","0.0","4.8","-1.3","3.5","3.7","5133"
"Troy Tulowitzki","COL","SS","1294.0"," ","2"," ","3","8","13","425","340",".800","42"," "," ","7.1","17"," ","1.5","-4.4","5.9","3.0","3.3","3531"
"Clint Barmes","COL","SS","103.1"," ","0"," ","0","4","4","45","41",".911","5"," "," ","5.6","0"," ","0.3","2.3","0.4","3.0","29.2","1830"
"Augie Ojeda","ARI","SS","241.2"," ","0"," ","0","2","2","63","51",".810","14"," "," ","1.1","-1"," ","0.0","1.9","0.7","2.6","16.9","297"
"Jhonny Peralta","CLE","SS","334.0"," ","1"," ","-2","3","2","102","83",".814","18"," "," ","1.8","-4"," ","0.9","1.5","0.1","2.6","9.1","1738"
"Stephen Drew","ARI","SS","1142.0"," ","0"," ","1","8","9","342","277",".810","44"," "," ","-0.5","1"," ","-0.5","0.3","2.8","2.6","3.0","4251"
"Jed Lowrie","BOS","SS","163.2"," ","0"," ","0","-1","-1","43","40",".930","1"," "," ","1.4","-1"," ","0.4","1.5","0.5","2.4","21.0","4418"
"Nick Punto","MIN","SS","491.0"," ","1"," ","1","-7","-5","141","113",".801","20"," "," ","0.9","-1"," ","0.0","1.5","0.3","1.8","4.8","1429"
"Adam Rosales","CIN","SS","33.0"," ","0"," ","0","2","2","10","9",".900","1"," "," ","0.2","0"," ","0.1","1.3","0.3","1.7","63.8","9682"
"Brendan Harris","MIN","SS","451.0"," ","-1"," ","0","-6","-7","152","123",".809","14"," "," ","-6.0","-6"," ","-1.0","1.1","1.5","1.6","3.2","2178"
"Yunel Escobar","ATL","SS","1208.2"," ","-1"," ","-5","13","7","376","315",".838","52"," "," ","28.3","8"," ","-0.8","0.3","2.0","1.5","1.6","4191"
"Alfredo Amezaga","FLA","SS","42.0"," ","0"," ","0","2","2","15","12",".800","3"," "," ","0.0","0"," "," ","1.2","0.4","1.5","45.3","1"
"Nick Green","BOS","SS","644.1"," ","1"," ","-1","0","0","188","147",".782","32"," "," ","-7.2","-7"," ","1.3","1.6","-1.6","1.3","3.0","1502"
"Wilson Valdez","NYM","SS","210.2"," ","1"," ","1","0","2","59","49",".831","8"," "," ","2.9"," "," ","0.2","0.0","1.0","1.1","7.3","1863"
"Drew Sutton","CIN","SS","28.1"," ","0"," ","1","1","2","16","14",".875","0"," "," ","0.6","0"," ","0.2","0.3","0.4","0.9","21.1","7430"
"Ryan Rohlinger","SFG","SS","13.0"," ","0"," ","0","1","1","3","3","1.000","1"," "," ","-0.2"," "," ","0.2","0.6","0.1","0.9","117.4","2621"
"Omar Quintanilla","COL","SS","41.0"," ","0"," ","0","0","0","15","11",".733","2"," "," ","0.7","0"," ","0.1","0.9","-0.4","0.6","17.3","6335"
"Alexi Casilla","MIN","SS","2.0"," ","0"," ","0","1","1","1","1","1.000","0"," "," ","0.2","0"," ","0.0","0.5","0.0","0.6","2.1","5248"
