Tm,NBat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
ARI,51,28.3,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,.250,.322,.413,.736,97,2240,82,61,50,33,55
ATL,45,28.9,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,.243,.308,.387,.695,90,2140,113,28,75,30,45
CHC,42,29.2,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,.256,.314,.401,.715,95,2224,123,59,60,35,35
CIN,42,28.6,4.54,162,6329,5612,735,1438,264,19,183,697,97,50,535,1250,.256,.326,.408,.734,98,2289,98,63,78,40,52
COL,55,28.6,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,.258,.329,.410,.739,89,2272,112,57,75,44,54
FLA,44,27.4,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,.247,.318,.388,.706,93,2139,111,51,89,42,38
HOU,47,28.2,3.80,162,6150,5598,615,1442,309,28,95,579,118,33,401,1164,.258,.311,.374,.684,89,2092,111,46,66,37,34
LAD,48,29.8,4.00,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,.257,.322,.375,.697,95,2039,101,45,71,43,61
MIL,48,28.9,4.45,162,6113,5447,721,1422,276,31,185,693,94,31,481,1083,.261,.325,.425,.750,102,2315,114,56,85,44,53
NYM,46,28.1,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,.264,.335,.391,.725,104,2188,112,51,65,48,56
PHI,42,31.5,4.40,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,.253,.323,.395,.717,95,2202,108,56,65,38,52
PIT,52,27.2,3.77,162,6064,5421,610,1325,277,35,107,580,108,52,489,1308,.244,.309,.368,.676,90,1993,123,34,75,44,31
SDP,48,28.0,3.66,162,6074,5417,593,1284,247,42,91,563,170,44,501,1320,.237,.305,.349,.653,86,1888,105,48,55,47,42
SFG,44,30.2,3.52,162,6091,5486,570,1327,282,24,121,534,85,51,448,1122,.242,.303,.368,.671,93,2020,117,52,62,43,47
STL,46,29.3,4.70,162,6242,5532,762,1513,308,22,162,726,57,39,542,978,.273,.341,.425,.766,112,2351,169,44,84,40,64
WSN,44,28.4,3.88,161,6090,5441,624,1319,257,22,154,594,106,38,470,1323,.242,.309,.383,.691,89,2082,103,65,82,32,40
