Tm,NPitch,PitchAge,R/G,W,L,W-L%,ERA,G,GS,GF,CG,tmSHO,cgSHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H/9,HR/9,BB/9,SO/9,SO/BB
ARI,25,27.4,4.09,94,68,0.58,3.8,162,162,157,5,12,1,58,1443.1,1414,662,609,159,442,16,1058,53,7,39,6102,106,1.286,8.8,1,2.8,6.6,2.39
ATL,21,28.4,3.73,89,73,0.549,3.48,162,162,159,3,16,2,52,1479.2,1332,605,572,125,521,73,1332,53,5,61,6220,110,1.252,8.1,0.8,3.2,8.1,2.56
CHC,22,29.4,4.67,71,91,0.438,4.33,162,162,158,4,5,1,40,1434.1,1439,756,690,162,580,45,1224,53,5,51,6262,90,1.408,9,1,3.6,7.7,2.11
CIN,21,27.7,4.44,79,83,0.488,4.16,162,162,158,4,5,2,39,1467.2,1414,720,678,185,539,47,1112,59,13,51,6259,95,1.331,8.7,1.1,3.3,6.8,2.06
COL,29,27.7,4.78,73,89,0.451,4.43,162,162,157,5,7,2,41,1447.2,1471,774,713,176,522,47,1118,48,7,65,6215,102,1.377,9.1,1.1,3.2,7,2.14
FLA,22,28,4.33,72,90,0.444,3.95,162,162,155,7,11,4,40,1459.2,1403,702,640,149,500,72,1218,37,10,43,6200,99,1.304,8.7,0.9,3.1,7.5,2.44
HOU,23,27.2,4.91,56,106,0.346,4.51,162,162,160,2,6,0,25,1435,1477,796,719,188,560,59,1191,53,9,39,6268,84,1.42,9.3,1.2,3.5,7.5,2.13
LAD,21,28.6,3.8,82,79,0.509,3.54,161,161,154,7,17,2,40,1432,1287,612,563,132,507,48,1265,43,7,50,5997,104,1.253,8.1,0.8,3.2,8,2.5
MIL,22,29.3,3.94,96,66,0.593,3.63,162,162,161,1,13,1,47,1441.2,1348,638,582,147,440,16,1257,33,5,70,6048,110,1.24,8.4,0.9,2.7,7.8,2.86
NYM,23,30,4.58,77,85,0.475,4.19,162,162,156,6,9,2,43,1448,1482,742,674,147,514,48,1126,70,7,46,6316,88,1.378,9.2,0.9,3.2,7,2.19
PHI,23,29.2,3.27,102,60,0.63,3.02,162,162,144,18,21,7,47,1477,1320,529,495,120,404,41,1299,47,6,23,6069,128,1.167,8,0.7,2.5,7.9,3.22
PIT,25,28.1,4.4,72,90,0.444,4.04,162,162,157,5,11,3,43,1449.1,1513,712,650,152,535,65,1031,62,6,60,6317,91,1.413,9.4,0.9,3.3,6.4,1.93
SDP,22,28.1,3.77,71,91,0.438,3.42,162,162,162,0,10,0,44,1449.1,1324,611,551,125,521,56,1139,37,6,45,6065,103,1.273,8.2,0.8,3.2,7.1,2.19
SFG,17,28.5,3.57,86,76,0.531,3.2,162,162,159,3,12,2,52,1468,1260,578,522,96,559,46,1316,50,4,42,6130,108,1.239,7.7,0.6,3.4,8.1,2.35
STL,24,30.2,4.27,90,72,0.556,3.74,162,162,155,7,9,5,47,1462,1461,692,608,136,448,44,1098,46,3,48,6211,99,1.306,9,0.8,2.8,6.8,2.45
WSN,24,27.6,3.99,80,81,0.497,3.58,161,161,158,3,10,2,49,1449.1,1403,643,577,129,477,43,1049,52,6,49,6141,107,1.297,8.7,0.8,3,6.5,2.2
