Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,Pos
1,687,1,14-Apr,NYY,@,WSH,W3-0,CG,4,4,0,2,0,1,0,1,0,0,0,0,0,0,,0,1,0,0.5,0.5,1,1.5,4,CF
2,688,2,15-Apr,NYY,,PHA,L1-3,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.5,0.5,0.875,1.375,4,CF
3,689,3,16-Apr,NYY,,PHA,L7-10,CG,5,5,1,4,2,0,1,2,0,0,0,0,0,0,,0,0,0,0.615,0.615,1.231,1.846,4,CF
4,690,4,17-Apr,NYY,,PHA,W9-4,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.588,0.611,1.059,1.67,4,CF
5,691,5,18-Apr,NYY,@,WSH,L4-7,CG,4,4,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,0.524,0.545,0.905,1.45,4,CF
6,692,6,19-Apr,NYY,@,WSH,W5-2,CG(10),5,5,1,1,0,0,1,2,0,0,0,0,0,0,,0,0,0,0.462,0.481,0.885,1.366,4,CF
7,693,7,20-Apr,NYY,@,PHA,W19-5,CG,6,5,4,3,0,0,1,6,1,0,0,0,0,0,,0,0,0,0.484,0.515,0.935,1.451,4,CF
8,694,8,21-Apr,NYY,@,PHA,W14-4,CG,6,5,3,4,1,0,1,2,1,0,0,0,0,0,,0,0,0,0.528,0.564,1.028,1.592,4,CF
9,695,9,22-Apr,NYY,@,PHA,L5-6,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.487,0.535,0.949,1.484,4,CF
10,696,10,23-Apr,NYY,,BOS,W4-2,CG(11),5,4,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.442,0.5,0.86,1.36,4,CF
11,697,11,24-Apr,NYY,,BOS,W6-3,CG,5,3,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.413,0.491,0.804,1.295,4,CF
12,698,12,25-Apr,NYY,,WSH,W6-0,CG,5,5,1,1,0,0,0,1,0,0,2,0,0,0,,1,0,0,0.392,0.466,0.745,1.211,4,CF
13,699,13,26-Apr,NYY,,WSH,W8-3,CG,5,3,2,1,0,0,0,1,2,0,0,0,0,0,,0,0,0,0.389,0.476,0.722,1.198,4,CF
14,700,14,27-Apr,NYY,,WSH,L3-6,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.379,0.463,0.741,1.204,4,CF
15,701,15,29-Apr,NYY,@,SLB,L2-3,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.367,0.465,0.717,1.181,4,CF
16,702,16,30-Apr,NYY,@,SLB,W7-1,CG,5,4,0,2,1,0,0,1,1,0,0,0,0,0,,0,0,0,0.375,0.474,0.719,1.192,4,CF
17,703,17,1-May,NYY,@,SLB,W14-5,CG,6,3,3,1,1,0,0,1,3,0,0,0,0,0,,0,0,0,0.373,0.488,0.716,1.204,4,CF
