Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1969,21,BOS,AL,2,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,23,BOS,AL,14,49,48,7,15,2,1,2,6,0,0,1,10,.313,.327,.521,.847,130,25,1,0,0,0,0,2,
1972,24,BOS,AL,131,514,457,74,134,28,9,22,61,5,2,52,83,.293,.370,.538,.909,162,246,11,4,1,0,6,*2,ASMVP-4RoY-1GG
1973,25,BOS,AL,135,558,508,65,125,21,0,26,71,7,2,37,99,.246,.309,.441,.750,105,224,11,10,1,2,2,*2/D,ASMVP-18
1974,26,BOS,AL,52,216,187,36,56,12,1,11,26,5,1,24,23,.299,.383,.551,.934,158,103,5,2,2,1,2,2/D,AS
1975,27,BOS,AL,79,294,263,47,87,14,4,10,52,4,3,27,32,.331,.395,.529,.923,150,139,7,2,0,2,4,2/D,
1976,28,BOS,AL,134,557,487,76,124,17,5,17,58,12,5,56,71,.255,.336,.415,.751,109,202,11,6,3,5,3,*2/D,AS
1977,29,BOS,AL,152,632,536,106,169,26,3,26,102,7,6,75,85,.315,.402,.521,.922,138,279,9,9,2,10,3,*2,ASMVP-8
1978,30,BOS,AL,157,658,571,94,162,39,5,20,88,7,2,71,83,.284,.366,.475,.841,125,271,10,7,3,6,6,*2/D7,ASMVP-9
1979,31,BOS,AL,91,340,320,49,87,23,2,10,42,3,0,10,38,.272,.304,.450,.754,96,144,9,6,1,3,0,D2/7,
1980,32,BOS,AL,131,530,478,73,138,25,3,18,62,11,5,36,62,.289,.353,.467,.819,118,223,12,13,0,3,6,*2/D735,AS
1981,33,CHW,AL,96,394,338,44,89,12,0,7,45,3,2,38,37,.263,.354,.361,.715,110,122,9,12,1,5,3,*2/357,ASSS
1982,34,CHW,AL,135,536,476,66,127,17,3,14,65,17,2,46,60,.267,.336,.403,.740,103,192,12,6,4,4,7,*2/3,AS
1983,35,CHW,AL,138,545,488,85,141,26,4,26,86,9,6,46,88,.289,.355,.518,.874,134,253,8,6,2,3,3,*2/D,MVP-3
1984,36,CHW,AL,102,395,359,54,83,20,1,21,43,6,0,26,60,.231,.289,.468,.757,102,168,7,5,1,4,4,2/D,
1985,37,CHW,AL,153,620,543,85,129,23,1,37,107,17,9,52,81,.238,.320,.488,.808,115,265,9,17,2,6,12,*2D,ASMVP-13SS
1986,38,CHW,AL,125,491,457,42,101,11,0,14,63,2,4,22,92,.221,.263,.337,.600,60,154,10,6,0,6,2,27D,
1987,39,CHW,AL,135,508,454,68,116,22,1,23,71,1,4,39,72,.256,.321,.460,.782,103,209,9,8,1,6,8,*2/3D7,
1988,40,CHW,AL,76,298,253,37,70,8,1,19,50,0,0,37,40,.277,.377,.542,.919,155,137,6,5,1,2,9,2,SS
1989,41,CHW,AL,103,419,375,47,110,25,2,13,68,1,0,36,60,.293,.356,.475,.830,136,178,15,3,0,5,8,2D,
1990,42,CHW,AL,137,521,452,65,129,21,0,18,65,7,2,61,73,.285,.378,.451,.829,134,204,12,7,0,1,8,*2D,MVP-15
1991,43,CHW,AL,134,501,460,42,111,25,0,18,74,1,2,32,86,.241,.299,.413,.712,97,190,19,7,0,2,4,2D3,AS
1992,44,CHW,AL,62,214,188,12,43,4,1,3,21,3,0,23,38,.229,.313,.309,.622,76,58,2,1,0,2,5,2/D,
1993,45,CHW,AL,25,58,53,2,10,0,0,1,4,0,1,2,11,.189,.228,.245,.473,29,13,0,1,1,1,0,2,
