Rk,,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
1,Hank Aaron HOF,1982,23,1954,1976,25,137.3,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,0.305,0.374,0.555,0.928
3,Roberto Alomar HOF,2011,17,1988,2004,12,62.9,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,0.3,0.371,0.443,0.814
6,Cap Anson HOF,1939,27,1871,1897,0,91.1,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,0.334,0.394,0.447,0.841
7,Luis Aparicio HOF,1984,18,1956,1973,13,51.7,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,0.262,0.311,0.343,0.653
8,Luke Appling HOF,1964,20,1930,1950,7,69.9,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,0.31,0.399,0.398,0.798
9,Richie Ashburn HOF,1995,15,1948,1962,6,60.2,2189,9736,8365,1322,2574,317,109,29,586,234,92,1198,571,0.308,0.396,0.382,0.778
10,Earl Averill HOF,1975,13,1929,1941,6,45.1,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,0.318,0.395,0.534,0.928
11,Home Run Baker HOF,1955,13,1908,1922,0,59.5,1575,6663,5984,887,1838,315,103,96,987,235,54,473,346,0.307,0.363,0.442,0.805
12,Dave Bancroft HOF,1971,16,1915,1930,0,46.5,1913,8248,7182,1048,2004,320,77,32,591,145,75,827,487,0.279,0.355,0.358,0.714
13,Ernie Banks HOF,1977,19,1953,1971,14,62.5,2528,10394,9421,1305,2583,407,90,512,1636,50,53,763,1236,0.274,0.33,0.5,0.83
14,Jake Beckley HOF,1971,20,1888,1907,0,57.1,2389,10504,9538,1602,2934,473,244,87,1578,315,,616,524,0.308,0.361,0.436,0.797
15,Johnny Bench HOF,1989,17,1967,1983,14,72.3,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,0.267,0.342,0.476,0.817
17,Yogi Berra HOF,1972,19,1946,1965,18,56.1,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,0.285,0.348,0.482,0.83
19,Wade Boggs HOF,2005,18,1982,1999,12,88.3,2440,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,0.328,0.415,0.443,0.858
20,Jim Bottomley HOF,1974,16,1922,1937,0,32.8,1991,8354,7471,1177,2313,465,151,219,1422,58,15,664,591,0.31,0.369,0.5,0.869
