Rk,,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
1,Pete Alexander HOF,1938,20,1911,1930,0,112.8,373,208,.642,2.56,696,600,80,437,90,32,5190.0,4868,1852,1476,165,951,,2198,70,1,38,20893
2,Chief Bender HOF,1953,16,1903,1925,0,40.8,212,127,.625,2.46,459,334,109,255,40,34,3017.0,2645,1108,823,40,712,,1711,102,10,79,11895
3,Bert Blyleven HOF,2011,22,1970,1992,2,90.7,287,250,.534,3.31,692,685,3,242,60,0,4970.0,4632,2029,1830,430,1322,71,3701,155,19,114,20491
4,Mordecai Brown HOF,1949,14,1903,1916,0,51.7,239,130,.648,2.06,481,332,138,271,55,49,3172.1,2708,1044,725,43,673,,1375,61,4,61,12422
5,Jim Bunning HOF,1996,17,1955,1971,9,56.7,224,184,.549,3.27,591,519,39,151,40,16,3760.1,3433,1527,1366,372,1000,98,2855,160,8,47,15618
6,Steve Carlton HOF,1994,24,1965,1988,10,78.6,329,244,.574,3.22,741,709,13,254,55,2,5217.2,4672,2130,1864,414,1833,150,4136,53,90,183,21683
7,Jack Chesbro HOF,1946,11,1899,1909,0,38.6,198,132,.600,2.68,392,332,52,260,35,5,2896.2,2647,1206,864,39,690,,1265,113,2,62,11632
8,John Clarkson HOF,1963,12,1882,1894,0,81.1,328,178,.648,2.81,531,518,12,485,37,5,4536.1,4295,2384,1417,159,1191,,1978,80,0,182,19146
9,Stan Coveleski HOF,1969,14,1912,1928,0,60.7,215,142,.602,2.89,450,385,52,224,38,21,3082.0,3055,1227,990,66,802,,981,30,1,35,12729
10,Candy Cummings HOF,1939,6,1872,1877,0,42.9,145,94,.607,2.42,242,241,2,233,19,0,2149.2,2526,1450,579,12,113,,259,,0,67,9583
11,Dizzy Dean HOF,1953,12,1930,1947,4,41.3,150,83,.644,3.02,317,230,76,154,26,30,1967.1,1919,774,661,95,453,,1163,27,5,12,8171
12,Don Drysdale HOF,1984,14,1956,1969,9,57.4,209,166,.557,2.95,518,465,34,167,49,6,3432.0,3084,1292,1124,280,855,123,2486,154,10,82,14097
13,Dennis Eckersley HOF,2004,24,1975,1998,6,58.6,197,171,.535,3.50,1071,361,577,100,20,390,3285.2,3076,1382,1278,347,738,91,2401,75,16,28,13534
14,Red Faber HOF,1964,20,1914,1933,0,61.9,254,213,.544,3.15,669,483,134,273,29,28,4086.2,4106,1813,1430,111,1213,,1471,103,2,52,17104
15,Bob Feller HOF,1962,18,1936,1956,8,59.9,266,162,.621,3.25,570,484,52,279,44,21,3827.0,3271,1557,1384,224,1764,6,2581,60,13,69,16180
16,Rollie Fingers HOF,1992,17,1968,1985,7,23.3,114,118,.491,2.90,944,37,709,4,2,341,1701.1,1474,615,549,123,492,109,1299,39,7,40,6942
17,Whitey Ford HOF,1974,16,1950,1967,10,50.6,236,106,.690,2.75,498,438,35,156,45,10,3170.1,2766,1107,967,228,1086,44,1956,28,5,75,13036
18,Pud Galvin HOF,1965,15,1875,1892,0,78.0,365,310,.541,2.85,705,688,19,646,57,2,6003.1,6405,3352,1903,121,745,,1807,61,2,221,25415
19,Bob Gibson HOF,1981,17,1959,1975,9,77.5,251,174,.591,2.91,528,482,21,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068
20,Lefty Gomez HOF,1972,14,1930,1943,7,39.3,189,102,.649,3.34,368,320,31,173,28,9,2503.0,2290,1091,930,138,1095,,1468,19,0,39,10729
21,Rich Gossage HOF,2008,22,1972,1994,9,39.9,124,107,.537,3.01,1002,37,681,16,0,310,1809.1,1497,670,605,119,732,90,1502,47,5,63,7507
22,Clark Griffith HOF,1946,21,1891,1914,0,54.0,237,146,.619,3.31,453,372,78,337,22,8,3385.2,3670,1852,1246,76,774,,955,171,3,66,14335
23,Burleigh Grimes HOF,1964,19,1916,1934,0,44.2,270,212,.560,3.53,616,497,94,314,35,18,4180.0,4412,2050,1638,148,1295,,1512,101,12,92,17974
24,Lefty Grove HOF,1947,17,1925,1941,6,103.7,300,141,.680,3.06,616,457,123,298,35,55,3940.2,3849,1594,1339,162,1187,,2266,42,1,51,16622
25,Jesse Haines HOF,1970,19,1918,1937,0,33.7,210,158,.571,3.64,555,386,95,208,23,10,3208.2,3460,1556,1298,165,871,,981,57,6,55,13644
26,Waite Hoyt HOF,1969,21,1918,1938,0,48.4,237,182,.566,3.59,674,425,171,226,26,52,3762.1,4037,1780,1500,154,1003,,1206,49,5,39,16010
27,Carl Hubbell HOF,1947,16,1928,1943,9,65.3,253,154,.622,2.98,535,433,82,260,36,33,3590.1,3461,1380,1188,227,725,,1677,53,1,53,14805
28,Catfish Hunter HOF,1987,15,1965,1979,8,32.1,224,166,.574,3.26,500,476,6,181,42,1,3449.1,2958,1380,1248,374,954,57,2012,49,7,49,14032
29,Fergie Jenkins HOF,1991,19,1965,1983,3,77.4,284,226,.557,3.34,664,594,37,267,49,7,4500.2,4142,1853,1669,484,997,116,3192,84,18,62,18400
30,Walter Johnson HOF,1936,21,1907,1927,0,144.7,417,279,.599,2.17,802,666,127,531,110,34,5914.1,4913,1902,1424,97,1363,,3509,205,4,154,23405
31,Addie Joss HOF,1978,9,1902,1910,0,43.4,160,97,.623,1.89,286,260,22,234,45,5,2327.0,1888,730,488,19,364,,920,58,1,28,8891
32,Tim Keefe HOF,1964,14,1880,1893,0,84.0,342,225,.603,2.63,600,594,7,554,39,2,5049.2,4438,2470,1474,75,1233,,2564,98,0,240,20941
33,Sandy Koufax HOF,1972,12,1955,1966,7,50.3,165,87,.655,2.76,397,314,44,137,40,9,2324.1,1754,806,713,204,817,48,2396,18,7,87,9497
34,Bob Lemon HOF,1976,15,1941,1958,7,34.7,207,128,.618,3.23,460,350,73,188,31,22,2850.0,2559,1185,1024,180,1251,13,1277,57,2,63,12099
35,Ted Lyons HOF,1955,21,1923,1946,1,60.7,260,230,.531,3.67,594,484,92,356,27,23,4161.0,4489,2056,1696,222,1121,,1073,31,6,55,17797
36,Juan Marichal HOF,1983,16,1960,1975,10,58.2,243,142,.631,2.89,471,457,11,244,52,2,3507.0,3153,1329,1126,320,709,82,2303,40,20,51,14236
37,Rube Marquard HOF,1971,18,1908,1925,0,31.5,201,177,.532,3.08,536,407,83,197,30,19,3306.2,3233,1443,1130,107,858,,1593,39,5,81,13641
38,Christy Mathewson HOF,1936,17,1900,1916,0,90.8,373,188,.665,2.13,636,552,73,435,79,30,4788.2,4219,1620,1135,89,848,,2507,59,8,115,18913
39,Joe McGinnity HOF,1946,10,1899,1908,0,57.2,246,142,.634,2.66,465,381,73,314,32,24,3441.1,3276,1436,1016,52,812,,1068,179,4,30,14132
40,Hal Newhouser HOF,1992,17,1939,1955,7,55.8,207,150,.580,3.06,488,374,79,212,33,26,2993.0,2674,1197,1016,136,1249,1,1796,19,7,65,12648
41,Kid Nichols HOF,1949,15,1890,1906,0,111.6,361,208,.634,2.96,621,562,56,532,48,17,5067.1,4929,2480,1664,156,1272,,1881,129,1,169,21082
42,Phil Niekro HOF,1997,24,1964,1987,5,91.7,318,274,.537,3.35,864,716,83,245,45,29,5404.0,5044,2337,2012,482,1809,86,3342,123,42,226,22677
43,Hank O'Day HOF,2013,7,1884,1890,0,7.1,73,110,.399,3.74,201,192,8,177,5,4,1651.1,1655,1128,687,65,578,,663,81,0,122,7247
44,Satchel Paige HOF,1971,6,1948,1965,2,9.7,28,31,.475,3.29,179,26,109,7,4,32,476.0,429,191,174,29,180,0,288,7,5,6,2002
45,Jim Palmer HOF,1990,19,1965,1984,6,63.2,268,152,.638,2.86,558,521,15,211,53,4,3948.0,3349,1395,1253,303,1311,37,2212,38,11,85,16114
46,Herb Pennock HOF,1948,22,1912,1934,0,38.8,241,162,.598,3.60,617,419,135,247,35,33,3571.2,3900,1699,1428,128,916,,1227,36,6,65,15096
47,Gaylord Perry HOF,1991,22,1962,1983,5,87.5,314,265,.542,3.11,777,690,33,303,53,11,5350.0,4938,2128,1846,399,1379,164,3534,108,6,160,21953
48,Eddie Plank HOF,1946,17,1901,1917,0,82.0,326,194,.627,2.35,623,529,76,410,69,23,4495.2,3958,1566,1174,42,1072,,2246,190,6,88,17803
49,Old Hoss Radbourn HOF,1939,12,1880,1891,0,69.1,309,194,.614,2.68,527,502,24,488,35,3,4527.1,4328,2273,1347,117,875,,1830,54,0,214,18918
50,Eppa Rixey HOF,1963,21,1912,1933,0,53.4,266,251,.515,3.15,692,554,97,290,37,14,4494.2,4633,1986,1572,93,1082,,1350,76,10,97,18754
51,Robin Roberts HOF,1976,19,1948,1966,7,77.3,286,245,.539,3.41,676,609,49,305,45,25,4688.2,4582,1962,1774,505,902,69,2357,54,3,33,19174
52,Red Ruffing HOF,1967,22,1924,1947,6,48.6,273,225,.548,3.80,624,538,69,335,45,16,4344.0,4284,2115,1833,254,1541,,1987,58,7,46,18546
53,Amos Rusie HOF,1977,10,1889,1901,0,64.6,246,174,.586,3.07,463,427,35,393,30,5,3778.2,3389,2068,1288,75,1707,,1950,112,1,153,16313
54,Babe Ruth HOF,1936,22,1914,1935,2,19.1,94,46,.671,2.28,163,147,12,107,17,4,1221.1,974,400,309,10,441,,488,29,4,25,4896
55,Nolan Ryan HOF,1999,27,1966,1993,8,77.4,324,292,.526,3.19,807,773,13,222,61,3,5386.0,3923,2178,1911,321,2795,78,5714,158,33,277,22575
56,Tom Seaver HOF,1992,20,1967,1986,12,101.1,311,205,.603,2.86,656,647,6,231,61,1,4783.0,3971,1674,1521,380,1390,116,3640,76,8,126,19369
57,Warren Spahn HOF,1973,21,1942,1965,17,86.0,363,245,.597,3.09,750,665,67,382,63,29,5243.2,4830,2016,1798,434,1434,60,2583,42,5,81,21547
58,Al Spalding HOF,1939,8,1871,1878,0,58.0,252,65,.795,2.13,347,325,31,279,24,13,2886.1,3280,1790,684,15,164,,248,,2,104,12724
59,Bruce Sutter HOF,2006,12,1976,1988,6,23.6,68,71,.489,2.83,661,0,512,0,0,300,1042.0,879,370,328,77,309,83,861,13,8,37,4252
60,Don Sutton HOF,1998,23,1966,1988,4,62.9,324,256,.559,3.26,774,756,12,178,58,5,5282.1,4692,2104,1914,472,1343,102,3574,82,21,112,21631
61,Dazzy Vance HOF,1955,16,1915,1935,0,60.5,197,140,.585,3.24,442,349,53,216,29,11,2966.2,2809,1246,1068,132,840,,2045,77,2,37,12366
62,Rube Waddell HOF,1946,13,1897,1910,0,57.7,193,143,.574,2.16,407,340,54,261,50,5,2961.1,2460,1063,711,37,803,,2316,115,3,74,11717
63,Ed Walsh HOF,1946,14,1904,1917,0,59.5,195,126,.607,1.82,430,315,103,250,57,35,2964.1,2346,873,598,23,617,,1736,52,9,76,11413
64,Monte Ward HOF,1964,17,1878,1894,0,26.0,164,103,.614,2.10,293,262,32,245,24,3,2469.2,2324,1185,576,26,253,,920,,0,144,10164
65,Mickey Welch HOF,1973,13,1880,1892,0,59.3,307,210,.594,2.71,565,549,16,525,41,4,4802.0,4588,2556,1447,106,1297,,1850,52,1,274,20308
66,Hoyt Wilhelm HOF,1985,21,1952,1972,8,47.4,143,122,.540,2.52,1070,52,651,20,5,227,2254.1,1757,773,632,150,778,61,1610,62,4,90,9164
67,Vic Willis HOF,1995,13,1898,1910,0,62.7,249,205,.548,2.63,513,471,41,388,50,11,3996.0,3621,1620,1167,66,1212,,1651,156,6,94,16263
68,Early Wynn HOF,1972,23,1939,1963,9,46.5,300,244,.551,3.54,691,612,66,290,49,15,4564.0,4291,2037,1796,338,1775,36,2334,64,2,51,19408
69,Cy Young HOF,1937,22,1890,1911,0,162.3,511,316,.618,2.63,906,815,84,749,76,17,7356.0,7092,3167,2147,138,1217,,2803,161,3,156,29565
,Average Pitching HOFer,,17,1875,1998,4,64,251,176,.588,2.96,590,451,102,275,41,39,3782,3500,1586,1244,187,1040,32,2039,77,8,91,15612
