DATE,Team,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
28-Mar,Sea,@ OAK,W 3-1,5,0,4,0,0,0,1,0,0,0,0
29-Mar,Sea,@ OAK,L 4-1,4,0,0,0,0,0,0,0,1,0,0
6-Apr,Sea,@ OAK,W 7-3,3,1,0,0,0,0,1,1,1,1,0
7-Apr,Sea,@ OAK,W 8-7,5,1,2,0,1,0,1,0,0,0,0
9-Apr,Sea,@ TEX,L 11-5,5,2,3,1,0,0,0,0,0,0,0
10-Apr,Sea,@ TEX,L 1-0,3,0,0,0,0,0,0,1,0,0,0
11-Apr,Sea,@ TEX,W 4-3,4,0,0,0,0,0,0,0,0,0,0
12-Apr,Sea,@ TEX,L 5-3,4,0,1,0,0,0,0,0,0,0,0
13-Apr,Sea,vs OAK,L 4-0,4,0,1,0,0,0,0,0,0,0,0
14-Apr,Sea,vs OAK,W 4-0,4,0,0,0,0,0,0,0,0,0,0
15-Apr,Sea,vs OAK,W 5-3,4,0,2,1,0,0,1,0,0,0,0
17-Apr,Sea,vs CLE,L 9-8,5,0,1,0,0,0,2,0,1,0,0
18-Apr,Sea,vs CLE,W 4-1,3,1,1,0,0,1,1,1,0,0,0
19-Apr,Sea,vs CLE,L 2-1,4,0,0,0,0,0,0,0,1,0,0
20-Apr,Sea,vs CHW,L 7-3,4,0,2,1,0,0,2,0,1,0,0
21-Apr,Sea,vs CHW,L 4-0,3,0,0,0,0,0,0,0,1,0,0
22-Apr,Sea,vs CHW,L 7-4,5,1,2,0,0,0,0,0,1,0,0
24-Apr,Sea,@ DET,W 7-4,5,2,3,0,0,0,0,0,0,1,0
25-Apr,Sea,@ DET,W 9-1,5,1,3,1,0,0,0,0,0,0,0
26-Apr,Sea,@ DET,W 5-4,4,1,0,0,0,0,0,0,0,0,0
27-Apr,Sea,@ TOR,W 9-5,5,0,0,0,0,0,0,0,0,0,0
28-Apr,Sea,@ TOR,L 7-0,4,0,2,0,0,0,0,0,0,0,0
29-Apr,Sea,@ TOR,L 7-2,4,0,0,0,0,0,0,0,0,0,0
30-Apr,Sea,@ TB,L 3-2,6,0,3,0,0,0,0,0,0,0,0
1-May,Sea,@ TB,L 3-1,4,0,2,1,0,0,0,0,0,0,0
2-May,Sea,@ TB,L 5-4,3,1,2,0,0,0,0,1,1,0,0
3-May,Sea,@ TB,L 4-3,4,0,1,1,0,0,1,0,0,0,0
4-May,Sea,vs MIN,L 3-2,4,0,0,0,0,0,0,0,1,0,0
5-May,Sea,vs MIN,W 7-0,2,2,1,0,1,0,2,2,0,0,0
6-May,Sea,vs MIN,W 5-2,2,0,0,0,0,0,0,2,0,0,0
7-May,Sea,vs DET,W 3-2,3,1,1,1,0,0,0,1,0,0,0
8-May,Sea,vs DET,L 6-4,4,1,1,0,0,0,1,1,0,0,0
9-May,Sea,vs DET,W 2-1,3,1,1,0,0,0,0,0,1,1,0
11-May,Sea,@ NYY,L 6-2,4,0,0,0,0,0,0,0,0,0,0
12-May,Sea,@ NYY,L 6-2,4,0,1,0,0,0,0,0,1,0,0
13-May,Sea,@ NYY,W 6-2,5,0,1,1,0,0,0,0,0,0,0
