Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1969,22,NYY,AL,26,97,86,6,22,1,2,1,9,0,1,10,10,.256,.330,.349,.679,94,30,5,0,0,1,1,2,
1970,23,NYY,AL,132,526,453,59,137,25,4,6,53,5,7,57,56,.302,.386,.415,.801,126,188,13,7,5,4,6,*2,MVP-19RoY-1
1971,24,NYY,AL,125,517,451,71,113,15,4,10,42,6,5,52,65,.251,.335,.368,.703,105,166,10,7,4,3,1,*2/9,AS
1972,25,NYY,AL,140,568,511,54,143,16,3,7,46,6,7,47,58,.280,.343,.364,.707,114,186,13,3,4,2,5,*2,
1973,26,NYY,AL,147,576,519,80,156,29,4,20,74,4,6,48,64,.301,.362,.487,.849,142,253,12,4,1,4,4,*2/D,ASMVP-12GG
1974,27,NYY,AL,144,571,517,64,135,19,2,13,60,2,0,44,66,.261,.316,.381,.697,101,197,14,1,1,8,12,*2/D,ASMVP-26GG
1975,28,NYY,AL,157,661,597,83,190,24,3,12,102,3,2,45,52,.318,.366,.429,.795,126,256,23,6,3,10,8,*2D/3579,ASMVP-7GG
1976,29,NYY,AL,152,665,616,79,186,27,1,17,105,14,11,29,38,.302,.337,.432,.769,126,266,17,9,1,10,6,*2D/97,ASMVP-1
1977,30,NYY,AL,149,638,595,85,183,28,5,18,100,5,6,39,55,.308,.351,.462,.813,121,275,18,2,0,2,8,*2D,ASMVP-7
1978,31,NYY,AL,154,667,617,73,183,27,1,6,71,2,3,35,70,.297,.332,.373,.705,101,230,20,3,1,10,6,*2D9,ASMVP-22
1979,32,NYY,AL,97,419,382,42,110,18,3,3,39,1,2,32,37,.288,.340,.374,.714,95,143,15,0,1,4,2,2/D3,
