LAST, FIRST, ID, DEBUT
Aardsma,David,aardd001,04/06/2004
Aaron,Hank,aaroh101,04/13/1954
Aaron,Tommie,aarot101,04/10/1962
Aase,Don,aased001,07/26/1977
Abad,Andy,abada001,09/10/2001
Abad,Fernando,abadf001,07/28/2010
Abadie,John,abadj101,04/26/1875
Abbaticchio,Ed,abbae101,09/04/1897
Abbey,Bert,abbeb101,06/14/1892
Abbey,Charlie,abbec101,08/16/1893
Abbott,Dan,abbod101,04/19/1890
Abbott,Fred,abbof101,04/25/1903
Abbott,Glenn,abbog001,07/29/1973
Abbott,Jeff,abboj002,06/10/1997
Abbott,Jim,abboj001,04/08/1989
Abbott,Kurt,abbok002,09/07/1993
Abbott,Kyle,abbok001,09/10/1991
Abbott,Ody,abboo101,09/10/1910
Abbott,Paul,abbop001,08/21/1990
Abbott,Spencer,abbos801,04/17/1935
Aber,Al,abera101,09/15/1950
Abercrombie,Frank,aberd101,10/21/1871
Abercrombie,Reggie,aberr001,04/04/2006
Abernathie,Bill,aberb101,09/27/1952
Abernathy,Brent,aberb001,06/25/2001
Abernathy,Ted,abert102,09/19/1942
Abernathy,Ted,abert101,04/13/1955
Abernathy,Woody,aberw101,07/28/1946
Aberson,Cliff,aberc101,07/18/1947
Ables,Harry,ableh101,09/04/1905
Abner,Shawn,abnes001,09/08/1987
Abrams,Cal,abrac101,04/20/1949
Abrams,George,abrag101,04/19/1923
Abrego,Johnny,abrej001,09/04/1985
Abreu,Bobby,abreb001,09/01/1996
Abreu,Joe,abrej101,04/23/1942
Abreu,Juan,abrej002,08/29/2011
Abreu,Tony,abret001,05/22/2007
Abreu,Winston,abrew001,08/06/2006
Abstein,Bill,abstb101,09/25/1906
Accardo,Jeremy,accaj001,05/04/2005
Acevedo,Jose,acevj002,06/19/2001
Acevedo,Juan,acevj001,04/30/1995
Aceves,Alfredo,aceva001,08/31/2008
Acker,Jim,ackej001,04/07/1983
Acker,Tom,acket101,04/20/1956
Ackley,Dustin,ackld001,06/17/2011
Ackley,Fritz,acklf101,09/21/1963
Acosta,Cy,acosc101,06/04/1972
Acosta,Ed,acose101,09/07/1970
Acosta,Jose,acosj101,07/28/1920
Acosta,Manny,acosm001,08/12/2007
Acosta,Merito,acosm101,06/15/1913
Acosta,Oscar,acoso801,03/29/2000
Acre,Mark,acrem001,05/13/1994
Acta,Manny,actam801,04/02/2007
Adair,Bill,adaib801,09/02/1970
Adair,Jerry,adaij101,09/02/1958
Adair,Jimmy,adaij102,08/24/1931
Adair,Rick,adair801,04/06/1992
Adams,Ace,adama101,04/15/1941
Adams,Babe,adamb104,04/18/1906
Adams,Bert,adamb106,08/30/1910
Adams,Bob,adamb107,09/22/1925
Adams,Bob,adamb102,09/27/1931
Adams,Bob,adamb105,07/10/1977
Adams,Bobby,adamb103,04/16/1946
Adams,Buster,adamb101,04/27/1939
Adams,Clarence,adamc901,05/22/1976
Adams,Dan,adamd103,05/22/1914
Adams,Dick,adamd102,05/20/1947
Adams,Doug,adamd101,09/08/1969
Adams,George,adamg102,06/14/1879
Adams,Glenn,adamg101,05/04/1975
Adams,Harry,adamj901,08/26/1897
Adams,Herb,adamh101,09/17/1948
Adams,Jim,adamj101,04/21/1890
