,Player.ID,Last.Name,First.Name,Bats,Pitches,Team,V7
1,abreb001,Abreu,Bobby,L,R,ANA,OF
2,amara001,Amarista,Alexi,L,R,ANA,2B
3,aybae001,Aybar,Erick,B,R,ANA,SS
4,bellt002,Bell,Trevor,L,R,ANA,P
5,bourp001,Bourjos,Peter,R,R,ANA,OF
6,branr001,Branyan,Russell,L,R,ANA,3B
7,bulgj001,Bulger,Jason,R,R,ANA,P
8,calla001,Callaspo,Alberto,B,R,ANA,2B
9,cassb001,Cassevah,Bobby,R,R,ANA,P
10,chatt001,Chatwood,Tyler,R,R,ANA,P
11,congh001,Conger,Hank,B,R,ANA,C
12,downs001,Downs,Scott,L,L,ANA,P
13,hared001,Haren,Dan,R,R,ANA,P
14,huntt001,Hunter,Torii,R,R,ANA,CF
15,iztum001,Izturis,Maicer,B,R,ANA,SS
16,jepsk001,Jepsen,Kevin,R,R,ANA,P
17,kazms001,Kazmir,Scott,L,L,ANA,P
18,kendh001,Kendrick,Howard,R,R,ANA,2B
19,kohnm001,Kohn,Michael,R,R,ANA,P
20,mathj001,Mathis,Jeff,R,R,ANA,C
21,moorj001,Moore,Jeremy,L,R,ANA,OF
22,navae001,Navarro,Efren,L,L,ANA,1B
23,palmm001,Palmer,Matt,R,R,ANA,P
24,pettc001,Pettit,Chris,R,R,ANA,OF
25,pinej001,Pineiro,Joel,R,R,ANA,P
26,ramih002,Ramirez,Horacio,L,L,ANA,P
27,richg002,Richards,Garrett,R,R,ANA,P
28,rodnf001,Rodney,Fernando,R,R,ANA,P
29,rodrf005,Rodriguez,Francisco,R,R,ANA,P
30,romia001,Romine,Andrew,B,R,ANA,SS
31,sante001,Santana,Ervin,R,R,ANA,P
32,takah001,Takahashi,Hisanori,L,L,ANA,P
33,thomr006,Thompson,Rich,R,R,ANA,P
34,troum001,Trout,Mike,R,R,ANA,OF
35,trumm001,Trumbo,Mark,R,R,ANA,1B
36,velag002,Velazquez,Gil,R,R,ANA,SS
37,waldj001,Walden,Jordan,R,R,ANA,P
38,weavj003,Weaver,Jered,R,R,ANA,P
39,wellv001,Wells,Vernon,R,R,ANA,OF
40,willj003,Williams,Jerome,R,R,ANA,P
41,willr004,Willits,Reggie,B,R,ANA,OF
42,wilsb002,Wilson,Bobby,R,R,ANA,C
43,woodb003,Wood,Brandon,R,R,ANA,3B
44,alleb001,Allen,Brandon,L,R,ARI,1B
45,blanh001,Blanco,Henry,R,R,ARI,C
46,bloow001,Bloomquist,Willie,R,R,ARI,2B
47,blumg001,Blum,Geoff,B,R,ARI,3B
48,branr001,Branyan,Russell,L,R,ARI,3B
49,brazy001,Brazoban,Yhency,R,R,ARI,P
50,burrs001,Burroughs,Sean,L,R,ARI,3B
51,casta002,Castillo,Alberto,L,L,ARI,P
52,collj001,Collmenter,Josh,R,R,ARI,P
53,cookr001,Cook,Ryan,R,R,ARI,P
54,cowgc001,Cowgill,Collin,R,L,ARI,OF
55,demes001,Demel,Sam,R,R,ARI,P
56,drews001,Drew,Stephen,L,R,ARI,SS
57,dukez001,Duke,Zach,L,L,ARI,P
58,enrib001,Enright,Barry,R,R,ARI,P
59,galaa002,Galarraga,Armando,R,R,ARI,P
60,gillc002,Gillespie,Cole,R,R,ARI,OF
61,goldp001,Goldschmidt,Paul,R,R,ARI,1B
62,gutij002,Gutierrez,Juan,R,R,ARI,P
63,hammr001,Hammock,Robby,R,R,ARI,C
64,heila001,Heilman,Aaron,R,R,ARI,P
65,hernd002,Hernandez,David,R,R,ARI,P
66,hilla001,Hill,Aaron,R,R,ARI,2B
67,hudsd001,Hudson,Daniel,R,R,ARI,P
68,johnk003,Johnson,Kelly,L,R,ARI,OF
69,kenni001,Kennedy,Ian,R,R,ARI,P
70,kroez001,Kroenke,Zach,R,L,ARI,P
71,marqj001,Marquis,Jason,L,R,ARI,P
72,mcdoj003,McDonald,John,R,R,ARI,SS
73,mickk001,Mickolio,Kameron,R,R,ARI,P
74,milew001,Miley,Wade,L,L,ARI,P
75,miraj001,Miranda,Juan,L,L,ARI,1B
76,montm001,Montero,Miguel,L,R,ARI,C
77,moram002,Mora,Melvin,R,R,ARI,3B
78,nadyx001,Nady,Xavier,R,R,ARI,OF
79,overl001,Overbay,Lyle,L,L,ARI,1B
80,owinm001,Owings,Micah,R,R,ARI,P
81,parkj001,Parker,Jarrod,R,R,ARI,P
82,parrg001,Parra,Gerardo,L,L,ARI,OF
83,penaw001,Pena,Wily Mo,R,R,ARI,OF
84,patej001,Paterson,Joe,R,L,ARI,P
85,putzj001,Putz,J.J.,R,R,ARI,P
86,ransc001,Ransom,Cody,R,R,ARI,3B
87,rober002,Roberts,Ryan,R,R,ARI,2B
88,saunj001,Saunders,Joe,L,L,ARI,P
89,shawb001,Shaw,Bryan,B,R,ARI,P
90,uptoj001,Upton,Justin,R,R,ARI,OF
91,vasqe001,Vasquez,Esmerling,R,R,ARI,P
92,wilsj003,Wilson,Josh,R,R,ARI,2B
93,younc004,Young,Chris,R,R,ARI,OF
94,ziegb001,Ziegler,Brad,R,R,ARI,P
95,beacb001,Beachy,Brandon,R,R,ATL,P
96,boscj001,Boscan,J.C.,R,R,ATL,C
97,bourm001,Bourn,Michael,L,R,ATL,OF
98,conrb001,Conrad,Brooks,B,R,ATL,2B
99,consj001,Constanza,Jose,L,L,ATL,OF
100,delgr001,Delgado,Randall,R,R,ATL,P
101,diazm003,Diaz,Matt,R,R,ATL,OF
102,freef001,Freeman,Freddie,L,R,ATL,1B
103,gearc001,Gearrin,Cory,R,R,ATL,P
104,gonza002,Gonzalez,Alex,R,R,ATL,SS
105,hanst001,Hanson,Tommy,R,R,ATL,P
106,hernd001,Hernandez,Diory,R,R,ATL,2B
107,heywj001,Heyward,Jason,L,L,ATL,OF
108,hickb002,Hicks,Brandon,R,R,ATL,SS
109,hinse001,Hinske,Eric,L,R,ATL,1B
110,hudst001,Hudson,Tim,R,R,ATL,P
111,jonec004,Jones,Chipper,B,R,ATL,3B
112,jurrj001,Jurrjens,Jair,R,R,ATL,P
113,kimbc001,Kimbrel,Craig,R,R,ATL,P
114,lines001,Linebrink,Scott,R,R,ATL,P
115,lowed001,Lowe,Derek,R,R,ATL,P
116,lugoj001,Lugo,Julio,R,R,ATL,SS
117,martc005,Martinez,Cristhian,R,R,ATL,P
118,mathj002,Mather,Joe,R,R,ATL,OF
119,mccab002,McCann,Brian,L,R,ATL,C
120,mclon001,McLouth,Nate,L,R,ATL,CF
121,medlk001,Medlen,Kris,B,R,ATL,P
122,minom001,Minor,Mike,R,L,ATL,P
123,moylp001,Moylan,Peter,R,R,ATL,P
124,oflae001,O'Flaherty,Eric,L,L,ATL,P
125,pradm001,Prado,Martin,R,R,ATL,OF
126,procs001,Proctor,Scott,R,R,ATL,P
127,ramiw001,Ramirez,Wilkin,R,R,ATL,OF
128,richa001,Richardson,Antoan,B,R,ATL,OF
129,rossd001,Ross,David,R,R,ATL,C
130,schaj002,Schafer,Jordan,L,L,ATL,OF
131,sherg001,Sherrill,George,L,L,ATL,P
132,tehej001,Teheran,Julio,R,R,ATL,P
133,uggld001,Uggla,Dan,R,R,ATL,2B
134,valdl001,Asencio,Jairo,R,R,ATL,P
135,varva001,Varvaro,Anthony,R,R,ATL,P
136,ventj001,Venters,Jonny,L,L,ATL,P
137,vizca001,Vizcaino,Arodys,R,R,ATL,P
138,wilsj002,Wilson,Jack,R,R,ATL,SS
139,younm004,Young,Matt,L,R,ATL,OF
140,accaj001,Accardo,Jeremy,R,R,BAL,P
141,adamr003,Adams,Ryan,R,R,BAL,2B
142,andir001,Andino,Robert,R,R,BAL,SS
143,anglm001,Angle,Matt,L,R,BAL,OF
144,arrij001,Arrieta,Jake,R,R,BAL,P
145,atkim001,Atkins,Mitch,R,R,BAL,P
146,bellj004,Bell,Josh,B,R,BAL,3B
147,bergb002,Bergesen,Brad,L,R,BAL,P
148,berkj001,Berken,Jason,R,R,BAL,P
149,britz001,Britton,Zachary,L,L,BAL,P
150,davic003,Davis,Chris,L,R,BAL,1B
151,davib005,Davis,Blake,L,R,BAL,2B
152,eyrew001,Eyre,Willie,R,R,BAL,P
153,florp001,Florimon,Pedro,B,R,BAL,SS
154,fox-j001,Fox,Jake,R,R,BAL,C
155,gonzm001,Gonzalez,Mike,R,L,BAL,P
156,gregk001,Gregg,Kevin,R,R,BAL,P
157,guerv001,Guerrero,Vladimir,R,R,BAL,OF
158,guthj001,Guthrie,Jeremy,R,R,BAL,P
159,hardj003,Hardy,J.J.,R,R,BAL,SS
160,hendm001,Hendrickson,Mark,L,L,BAL,P
161,hudsk001,Hudson,Kyle,L,L,BAL,OF
162,huntt002,Hunter,Tommy,R,R,BAL,P
163,iztuc001,Izturis,Cesar,B,R,BAL,SS
164,jakuc001,Jakubauskas,Chris,L,R,BAL,P
165,johnj010,Johnson,Jim,R,R,BAL,P
166,jonea003,Jones,Adam,R,R,BAL,OF
167,lee-d002,Lee,Derrek,R,R,BAL,1B
168,markn001,Markakis,Nick,L,L,BAL,OF
169,matub001,Matusz,Brian,L,L,BAL,P
170,pattt001,Patton,Troy,B,L,BAL,P
171,philz001,Phillips,Zach,L,L,BAL,P
172,pie-f001,Pie,Felix,L,L,BAL,OF
173,rapac001,Rapada,Clay,R,L,BAL,P
174,reimn001,Reimold,Nolan,R,R,BAL,OF
175,reyej003,Reyes,Jo-Jo,L,L,BAL,P
176,reynm001,Reynolds,Mark,R,R,BAL,3B
177,robeb003,Roberts,Brian,B,R,BAL,2B
178,rupej001,Rupe,Josh,R,R,BAL,P
179,scotl001,Scott,Luke,L,R,BAL,OF
180,simoa001,Simon,Alfredo,R,R,BAL,P
181,snydb003,Snyder,Brandon,R,R,BAL,1B
182,strop001,Strop,Pedro,R,R,BAL,P
183,tatuc001,Tatum,Craig,R,R,BAL,C
184,tillc001,Tillman,Chris,R,R,BAL,P
