Year,Age,Tm,Lg,W,L,W-L,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H/9,HR/9,BB/9,SO/9,SO/BB,Awards
1942,21,BSN,NL,0,0,,5.74,4,2,0,1,0,0,15.2,25,15,10,0,11,,7,0,0,0,79,59,2.298,14.4,0,6.3,4,0.64,
1946,25,BSN,NL,8,5,0.615,2.94,24,16,7,8,0,1,125.2,107,46,41,6,36,,67,1,0,4,514,118,1.138,7.7,0.4,2.6,4.8,1.86,
1947,26,BSN,NL,21,10,0.677,2.33,40,35,4,22,7,3,289.2,245,87,75,15,84,,123,1,0,5,1174,170,1.136,7.6,0.5,2.6,3.8,1.46,ASMVP-15
1948,27,BSN,NL,15,12,0.556,3.71,36,35,1,16,3,1,257,237,115,106,19,77,,114,1,0,4,1064,105,1.222,8.3,0.7,2.7,4,1.48,MVP-14
1949,28,BSN,NL,21,14,0.6,3.07,38,38,0,25,4,0,302.1,283,125,103,27,86,,151,3,0,4,1258,124,1.221,8.4,0.8,2.6,4.5,1.76,ASMVP-7
1950,29,BSN,NL,21,17,0.553,3.16,41,39,2,25,1,1,293,248,123,103,22,111,,191,1,0,8,1217,122,1.225,7.6,0.7,3.4,5.9,1.72,ASMVP-18
1951,30,BSN,NL,22,14,0.611,2.98,39,36,3,26,7,0,310.2,278,111,103,20,109,,164,1,1,7,1289,124,1.246,8.1,0.6,3.2,4.8,1.5,ASMVP-11
1952,31,BSN,NL,14,19,0.424,2.98,40,35,5,19,5,3,290,263,109,96,19,73,,183,6,0,5,1190,122,1.159,8.2,0.6,2.3,5.7,2.51,ASMVP-23
1953,32,MLN,NL,23,7,0.767,2.1,35,32,3,24,5,3,265.2,211,75,62,14,70,,148,1,2,3,1055,188,1.058,7.1,0.5,2.4,5,2.11,ASMVP-5
1954,33,MLN,NL,21,12,0.636,3.14,39,34,2,23,1,3,283.1,262,107,99,24,86,,136,1,1,3,1175,119,1.228,8.3,0.8,2.7,4.3,1.58,ASMVP-11
1955,34,MLN,NL,17,14,0.548,3.26,39,32,7,16,1,1,245.2,249,99,89,25,65,4,110,2,0,4,1025,115,1.278,9.1,0.9,2.4,4,1.69,
1956,35,MLN,NL,20,11,0.645,2.78,39,35,3,20,3,3,281.1,249,92,87,25,52,12,128,3,0,7,1113,125,1.07,8,0.8,1.7,4.1,2.46,ASCYA-3MVP-4
1957,36,MLN,NL,21,11,0.656,2.69,39,35,4,18,4,3,271,241,94,81,23,78,4,111,2,0,2,1111,130,1.177,8,0.8,2.6,3.7,1.42,ASCYA-1MVP-5
1958,37,MLN,NL,22,11,0.667,3.07,38,36,1,23,2,1,290,257,106,99,29,76,7,150,2,1,2,1176,116,1.148,8,0.9,2.4,4.7,1.97,ASCYA-2MVP-5
1959,38,MLN,NL,21,15,0.583,2.96,40,36,3,21,4,0,292,282,106,96,21,70,9,143,1,0,2,1203,119,1.205,8.7,0.6,2.2,4.4,2.04,ASMVP-19
1960,39,MLN,NL,21,10,0.677,3.5,40,33,5,18,4,2,267.2,254,114,104,24,74,9,154,4,0,1,1110,98,1.225,8.5,0.8,2.5,5.2,2.08,CYA-2MVP-14
1961,40,MLN,NL,21,13,0.618,3.02,38,34,3,21,4,0,262.2,236,96,88,24,64,1,115,4,0,4,1064,122,1.142,8.1,0.8,2.2,3.9,1.8,ASCYA-2MVP-10
1962,41,MLN,NL,18,14,0.563,3.04,34,34,0,22,0,0,269.1,248,97,91,25,55,4,118,3,0,4,1088,125,1.125,8.3,0.8,1.8,3.9,2.15,AS
1963,42,MLN,NL,23,7,0.767,2.6,33,33,0,22,7,0,259.2,241,85,75,23,49,4,102,0,0,4,1037,124,1.117,8.4,0.8,1.7,3.5,2.08,ASMVP-12
1964,43,MLN,NL,6,13,0.316,5.29,38,25,11,4,1,4,173.2,204,110,102,23,52,4,78,2,0,6,759,67,1.474,10.6,1.2,2.7,4,1.5,
1965,44,TOT,NL,7,16,.304,4.01,36,30,3,8,0,0,197.2,210,104,88,26,56,2,90,3,0,2,846,89,1.346,9.6,1.2,2.5,4.1,1.61,
