"year_id","team","fgName","name","DER","teamID","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR.150","Runs"
2007,"ANA","Angels","Los Angeles Angels of Anaheim",0.679232192414431,"LAA",12915,-1,5,-2,2,-12,-10,2406,1962,0.816,374,NA,NA,-2.3,NA,2.3,1.9,17.1,-2.5,18.8,3.2,-3.7862151704481
2007,"ARI","Diamondbacks","Arizona Diamondbacks",0.693333333333333,"ARI",12969,-1,4,-3,5,20,36,2409,1964,0.815,386,NA,NA,24,NA,-3,1.7,-3.1,1.3,-3.2,-0.9,13.5901870409679
2007,"ATL","Braves","Atlanta Braves",0.698910081743869,"ATL",13107,-2,2,16,4,44,59,2364,1940,0.821,460,NA,NA,1.6,NA,21.9,-1.4,27.2,-2.3,45.5,10.2,-20.5248595538674
2007,"BAL","Orioles","Baltimore Orioles",0.688550658791458,"BAL",12948,-3,-3,3,5,-13,-10,2538,2078,0.819,356,NA,NA,4,NA,-1.2,-6.3,0.1,9.1,1.7,-0.5,-8.26113591034201
2007,"BOS","Red Sox","Boston Red Sox",0.705158542356839,"BOS",12948,-2,2,-8,8,6,-3,2418,1995,0.825,328,NA,NA,72.8,NA,-6.4,-0.1,32.8,2.9,29.1,2.4,-10.618842536531
2007,"CHA","White Sox","Chicago White Sox",0.680598328200616,"CHA",12966,-1,1,-6,-7,-56,-62,2523,2030,0.805,319,NA,NA,-38.5,NA,-11,-3.5,-19.4,-4.9,-38.8,-7,19.7223965278236
2007,"CHN","Cubs","Chicago Cubs",0.706009097438353,"CHN",13020,-10,2,12,8,18,16,2267,1906,0.841,326,NA,NA,51.5,NA,14.6,5.3,44.4,2.9,67.1,13.6,-37.1014785987917
2007,"CIN","Reds","Cincinnati Reds",0.678799911758218,"CIN",13047,1,3,-1,-14,-44,-58,2469,2008,0.813,345,NA,NA,-47.7,NA,-7.8,1.5,-26.9,2.3,-30.9,-5.2,-55.8455193529782
2007,"CLE","Indians","Cleveland Indians",0.685946778095448,"CLE",13164,4,-1,-6,-8,10,3,2583,2084,0.807,350,NA,NA,-7.8,NA,-2.6,-3.9,-14.1,2.3,-18.3,-3.2,-3.64279420149868
2007,"COL","Rockies","Colorado Rockies",0.701021961295934,"COL",13248,0,8,-3,0,28,33,2535,2120,0.836,376,NA,NA,67.9,NA,0.9,5.5,-22.2,18.8,2.9,1,272.975934576607
2007,"DET","Tigers","Detroit Tigers",0.690884778248273,"DET",13026,1,4,1,-5,33,40,2505,2083,0.832,382,NA,NA,22.8,NA,5,-2.1,28.2,1.5,32.6,4.8,-58.0446692179215
2007,"FLO","Marlins","Florida Marlins",0.662953887280018,"FLO",12993,3,2,10,-7,-74,-68,2388,1903,0.797,374,NA,NA,-51,NA,6.9,5,-42.2,-13.8,-44,-4.4,-104.689355915424
2007,"HOU","Astros","Houston Astros",0.68558180613822,"HOU",13182,-6,-9,-5,-5,-25,-43,2468,2001,0.811,400,NA,NA,-1.9,NA,-1.7,-5.2,-11.9,-5.2,-24.1,-3.9,-25.0635332889866
2007,"KCA","Royals","Kansas City Royals",0.684628975265018,"KCA",12936,-1,7,-2,-2,38,41,2495,2105,0.844,385,NA,NA,10.5,NA,9.3,3.1,63.2,-3.3,72.3,11.4,84.1506195360538
2007,"LAN","Dodgers","Los Angeles Dodgers",0.68538283062645,"LAN",13050,7,-1,-22,18,-17,-3,2375,1946,0.819,338,NA,NA,-13.8,NA,-17.9,-0.9,-17.6,-3.1,-39.5,-9,88.2405520521268
2007,"MIL","Brewers","Milwaukee Brewers",0.677294465953086,"MIL",12999,-7,4,-3,13,-15,-8,2372,1898,0.8,394,NA,NA,-27.3,NA,1,-0.4,21,-7.2,14.4,2.1,-12.699374623041
2007,"MIN","Twins","Minnesota Twins",0.68788501026694,"MIN",12930,-2,0,2,2,10,20,2453,2004,0.817,358,NA,NA,-19.6,NA,-4.2,-3.9,26.1,-0.7,17.3,1.2,110.653860330758
2007,"NYA","Yankees","New York Yankees",0.689066311820803,"NYA",13056,-6,12,11,-5,-16,-13,2515,2086,0.829,330,NA,NA,-4.9,NA,9.1,5.6,-39.6,-0.5,-25.4,-1.1,-103.821375535022
2007,"NYN","Mets","New York Mets",0.701352280540912,"NYN",13071,-1,-4,-11,-2,44,17,2327,1956,0.841,393,NA,NA,43.3,NA,-5.3,0.8,23.6,1.6,20.7,1.8,-40.4937681004135
2007,"OAK","Athletics","Oakland Athletics",0.692888888888889,"OAK",13032,-1,5,-8,-10,14,10,2499,2091,0.837,373,NA,NA,5.5,NA,-16.9,-1.5,-1.5,4.1,-15.8,-5.3,0.569691930588665
2007,"PHI","Phillies","Philadelphia Phillies",0.686265808741957,"PHI",13125,4,0,26,-6,16,44,2455,1989,0.81,409,NA,NA,-14.6,NA,11.5,-0.6,20.5,1.2,32.6,6.1,-44.7524731030765
2007,"PIT","Pirates","Pittsburgh Pirates",0.674913194444444,"PIT",13029,-2,8,1,4,-38,-24,2502,2022,0.808,366,NA,NA,-38.9,NA,1.2,3.4,-33.6,11,-18,-1.9,28.0734037001681
2007,"SDN","Padres","San Diego Padres",0.70145251396648,"SDN",13362,-12,1,-5,0,33,-3,2444,2032,0.831,376,NA,NA,6,NA,-8.4,3.3,-44.1,8,-41.3,-6.7,-50.0297313267691
2007,"SEA","Mariners","Seattle Mariners",0.674162257495591,"SEA",12909,0,2,2,-12,-36,-47,2450,1966,0.802,395,NA,NA,-37,NA,5.1,1.5,-62.1,2.4,-53.1,-6.1,-51.1434419926278
2007,"SFN","Giants","San Francisco Giants",0.697179946284691,"SFN",13083,2,-1,-5,-4,10,5,2440,2026,0.83,388,NA,NA,17.1,NA,-5.6,-0.8,20.8,12.7,27.2,2.5,142.86165034862
2007,"SLN","Cardinals","St. Louis Cardinals",0.688535309503051,"SLN",12921,4,-3,-1,8,29,48,2476,2020,0.816,430,NA,NA,-23.4,NA,-0.6,-3.1,23.1,-17.7,1.8,0,-100.262518531479
2007,"TBA","Devil Rays","Tampa Bay Devil Rays",0.656770952272208,"TBA",12867,-3,1,12,-5,-89,-81,2406,1905,0.792,334,NA,NA,-92.1,NA,8.7,-2.3,-49.4,-5.3,-48.2,-5.5,-121.814547132618
2007,"TEX","Rangers","Texas Rangers",0.681938911022576,"TEX",12870,3,1,1,-11,1,-1,2496,2032,0.814,412,NA,NA,10.2,NA,0,-3.4,-3.2,-7.7,-14.3,-2.1,5.74338488126451
2007,"TOR","Blue Jays","Toronto Blue Jays",0.704759714876983,"TOR",13038,-7,3,7,12,69,83,2436,2048,0.841,382,NA,NA,75.1,NA,3.5,-3.1,21.8,2.7,24.9,3.9,140.29306849052
2007,"WAS","Nationals","Washington Nationals",0.699542782495101,"WAS",13020,1,3,-9,-2,-7,-13,2492,2049,0.822,383,NA,NA,19.6,NA,-8.3,4,21.1,-10.4,6.3,0,-54.2791153236609
2008,"ANA","Angels","Los Angeles Angels of Anaheim",0.6920438957476,"LAA",13062,-4,7,-10,19,-15,-7,2354,1947,0.827,417,65,2.5,23,NA,-0.9,3,3.2,3.9,9.2,1.3,81.6864992671173
2008,"ARI","Diamondbacks","Arizona Diamondbacks",0.685842803030303,"ARI",12912,-3,0,-11,-14,4,-33,2239,1831,0.818,393,50,-3.3,-20.1,NA,-8,-1.8,-36.2,-10.5,-56.5,-9.3,-89.8142883163485
2008,"ATL","Braves","Atlanta Braves",0.694343065693431,"ATL",12966,1,-7,2,-1,26,26,2321,1927,0.83,462,58,1.6,-5.1,NA,0.1,-6.7,-14,1.1,-19.4,-3.1,28.5340205173612
2008,"BAL","Orioles","Baltimore Orioles",0.690088105726872,"BAL",12798,-2,-3,16,4,-32,-20,2537,2078,0.819,403,66,-4.2,-9.1,NA,12.2,-5.1,0.4,3.5,10.9,2.8,38.6936576680621
2008,"BOS","Red Sox","Boston Red Sox",0.699669187145558,"BOS",13017,0,0,-7,4,12,13,2313,1935,0.837,366,64,1.9,40.7,NA,-4.3,0.5,56.3,4.7,57.1,7.2,-42.6712363565753
2008,"CHA","White Sox","Chicago White Sox",0.687088722486953,"CHA",13119,-5,4,-6,1,-20,-36,2352,1932,0.821,382,50,-1.7,-36.3,NA,-1.6,2.3,-10.9,-6.3,-16.5,-2.4,-33.1137952607365
2008,"CHN","Cubs","Chicago Cubs",0.705726660250241,"CHN",13056,-3,-3,0,-9,-4,-18,2112,1761,0.834,427,65,3.5,-4.2,NA,2.2,2.1,29.8,-3.7,30.3,5.1,-108.698429490168
2008,"CIN","Reds","Cincinnati Reds",0.674418604651163,"CIN",12981,-2,-3,4,3,-21,-25,2223,1827,0.822,410,81,4.8,-57.6,NA,1,0.6,-26.6,-7.3,-32.3,-4.1,-105.840793417597
