Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,Pos
1,294,1,15-Apr,BOS,,WSH,W7-6,0-0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,1,1,2,9,PH
2,295,2,16-Apr,BOS,,WSH,W8-7,0-0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.5,0.5,0.5,1,9,PH
3,296,3,18-Apr,BOS,@,PHA,W3-2,0-0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.667,0.667,0.667,1.333,9,PH
4,297,5 (1),20-Apr,BOS,@,WSH,W14-8,0-0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.5,0.5,0.5,1,9,PH
5,298,6,21-Apr,BOS,@,WSH,L5-6,0-0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.4,0.4,0.4,0.8,9,PH
6,299,7,22-Apr,BOS,@,WSH,L5-12,GS-0,4,4,1,2,1,0,0,2,0,0,0,0,0,0,,0,0,0,0.444,0.444,0.556,1,3,LF
7,300,9 (1),24-Apr,BOS,@,NYY,L3-6,0-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.4,0.4,0.5,0.9,9,PH
8,301,12 (2),29-Apr,BOS,@,DET,L3-5,CG,4,3,2,2,1,0,1,1,1,0,0,0,0,0,,0,0,0,0.462,0.5,0.846,1.346,3,LF
9,302,13,30-Apr,BOS,@,DET,L8-12,CG,5,5,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.389,0.421,0.667,1.088,3,LF
10,303,14,1-May,BOS,@,DET,W15-9,CG,6,5,2,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.348,0.4,0.565,0.965,3,LF
11,304,15,2-May,BOS,@,CLE,L3-7,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.308,0.379,0.5,0.879,3,RF
12,305,16,3-May,BOS,@,CLE,L2-4,CG,5,3,0,1,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.31,0.412,0.483,0.895,3,RF
13,306,17,4-May,BOS,@,SLB,W11-4,GS-0,6,5,1,2,0,0,0,2,1,0,0,0,0,0,,1,1,0,0.324,0.425,0.471,0.896,3,RF
14,307,18,7-May,BOS,@,CHW,W4-3,CG(11),5,4,2,3,0,0,2,3,1,0,0,0,0,0,,0,0,0,0.368,0.467,0.658,1.125,3,LF
15,308,19,11-May,BOS,,NYY,W13-5,CG,6,6,2,3,1,0,0,1,0,0,0,0,0,0,,0,0,0,0.386,0.471,0.659,1.13,3,LF
16,309,20,12-May,BOS,,NYY,W8-4,CG,4,3,2,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.383,0.473,0.638,1.111,3,LF
17,310,21,13-May,BOS,,CHW,L2-3,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.373,0.458,0.667,1.124,3,LF
18,311,22,14-May,BOS,,CHW,W10-7,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.339,0.422,0.607,1.029,3,LF
